"capturedate","id","lat","long","alt"
"2023-11-01T23:40:11","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-01T23:45:23","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:45:23","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:45:23","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:45:23","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:45:23","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:45:23","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:47:54","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:55:23","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:55:23","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-01T23:50:11","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-02T00:00:00","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:00:00","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:00:00","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:00:00","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:00:00","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:00:11","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-02T00:00:11","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-02T00:05:48","8518227389474817982",43.4786548484649,-80.523675759995,369.428031855263
"2023-11-02T00:08:33","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:08:33","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:16:20","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-02T00:19:39","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:19:39","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:19:39","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:19:39","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:19:39","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:19:39","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:19:39","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:23:28","8518227389474817982",43.4786797936277,-80.5235888400684,375.247434112243
"2023-11-02T00:35:44","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:35:44","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:35:44","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:35:44","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:35:44","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:35:44","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T00:35:44","bf09563aab47fcc9",43.489431,-80.5461847,309.799987792969
"2023-11-02T01:00:00","8518227389474817982",43.4786253366934,-80.5235898676483,371.534593536519
"2023-11-02T01:18:17","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-02T01:28:17","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-02T01:40:25","8518227389474817982",43.4785451425211,-80.5236508120471,373.756282579154
"2023-11-02T02:13:53","8518227389474817982",43.4785388897293,-80.5234732988593,393.8192878142
"2023-11-02T02:44:09","8518227389474817982",43.4784729334319,-80.5236155369026,381.311085181311
"2023-11-02T02:48:00","38a7fe867c5e7119",43.4719956,-80.5626885,305.899993896484
"2023-11-02T02:58:54","38a7fe867c5e7119",43.4710157,-80.5526992,0
"2023-11-02T03:03:53","8518227389474817982",43.4786055946407,-80.5235675457197,372.725999754854
"2023-11-02T03:08:54","38a7fe867c5e7119",43.4710157,-80.5526992,0
"2023-11-02T04:55:04","38a7fe867c5e7119",43.4710157,-80.5526992,0
